ID_agence,nom_agence,Addresse,Telephone
67c189eb-f2fa-41fb-9083-4513e7805182,MOHAMED V,"SIDI RAHAL PLAGE - Sidi Rahal, Chatii n° 31 et 32",+212580399828
36130b51-5faf-4887-9524-e8c38774c9be,BEN AHMED,"OUALIDIA - NAHJ HASSANI II, OUALIDIA",+212599894683
c773d446-6bf7-4e6a-a13f-c2e30e972296,IBN KHALDOUNE,SIDI OUASSEL - ROUTE SIDI OUASSEL AVENUE BOUJDOUR SAFI,+212503680716
7fde204e-b1a1-4d6d-8be4-c4a9a3fc34fb,TATA,OUMI RABII - Boulevard Mohamed V N° 230 Azemmour 241000,+212507532469
cc940aea-e7ca-4d72-84ab-c9f07db60abe,BEN AHMED,"OUALIDIA - NAHJ HASSANI II, OUALIDIA",+212593685194
d9a295fd-9c1d-461a-801d-af46acf8e109,OULAD TEIMA,TAZNAKHT - CENTRE DE TAZNAKHT,+212572123803
a3efe526-1721-4b8a-ab02-6fe712b7e5f5,HASSAN II,OUMI RABII - Boulevard Mohamed V N° 230 Azemmour 241000,+212536540461
62752d9e-d314-485d-bb0c-ad46f10d9745,MEDINA,IBN BATTOUTA - Avenue Ibn Battouta qurtier Bled El Jed Safi,+212566393739
5bcd286c-65a4-4615-adbf-5418231c1df9,HAD OULAD FREJ,LIBERTE - AVENUE DE LA LIBERTE,+212518887600
0d1140f2-4851-48aa-bde3-f4db3bae2f5b,ZAGORA,ZAGORA - AVENUE MOHAMMED V,+212544255266
b3709785-30ed-4a11-9e62-a8478773dafb,ESSALAM,EL BROUJ - BOULEVARD MOHAMMED V,+212592304321
7473a872-9918-4844-985d-df3e0a9fcc43,BEN AHMED,LALLA ZAHRA - Angle Avenue Echouhada et rue Churchil El Jadida,+212555606308
89da6bcd-82ee-4cbe-9474-9258ae22accc,SIDI OUASSEL,HAD SOUALEM - ROUTE EL JADIDA LOT SAHEL .LOT 209.,+212504165055
4b9febff-bf55-46a1-bbbe-b430f90857e6,DEROUA,TATA - BD MOHAMMED V,+212501961949
b672ae2a-abfb-4cae-8751-77f905c93134,ZAOUIA,TISSIR - Bd Hassan II lotissement Halima lot N° 1 Berrechid,+212578455320
fae22153-6bb4-4462-992b-846779871388,NASSIM,ANNASR - 64 Quartier Moulhia El Jadida 24000,+212579502363
94977247-29a9-41d4-9484-38dae7e5be50,MOHAMED V,OULAD TEIMA - OULAD TEIMA CENTRE,+212537899392
cada7e9c-92a4-46ed-a321-75f8e21c7fa1,EL BROUJ,KHEMIS ZEMAMRA - ROUTE DE TNINE GHARBIA 24200 KH.ZEMAMRA,+212516468394
02f2b85b-f680-4f08-826c-6098019dfe4e,SIDI RAHAL PLAGE,TAZNAKHT - CENTRE DE TAZNAKHT,+212503207161
354441a2-2eea-49c8-a2ad-3ee9518c8fa6,BIADA,LIGUE ARABE - 7 Avenue Mohammed VI 24000 EL JADIDA,+212579374000
fb932120-5cbc-49ff-b674-d9ce84ec62ef,KHEMIS ZEMAMRA,MOKHTAR SOUSSI (MRE) - AVENUE PRINCE HERITIER SIDI MED BP:44,+212594032961
4b7c7974-599d-48b6-b41d-73bd733b324f,BIR ANZARANE,SIDI OUASSEL - ROUTE SIDI OUASSEL AVENUE BOUJDOUR SAFI,+212534255313
fd874a12-7f4e-4ebf-aabd-efb4c3a84152,HASSAN II,TATA - BD MOHAMMED V,+212577330579
9144301b-a654-4902-80b2-2416c6d7cc3c,L.HNIA HAMRIA,"OUALIDIA - NAHJ HASSANI II, OUALIDIA",+212524602548
53236cdb-c98b-49d2-b079-eb47a9b53c27,KHEMIS ZEMAMRA,ESSALAM - N° 77 quartier Essalam 24000,+212585741202
23a66db2-fe6e-46ad-ab4e-2c283d157975,LIBERTE,L.HNIA HAMRIA - BD DRISS BEN NACER,+212588112348
87c8d270-e99a-40d6-85ba-db121f02e2c6,M HAITA,EL BROUJ - BOULEVARD MOHAMMED V,+212581843404
f46c4c06-ab7e-420c-b319-155f857959af,MOULAY DRISS 1er,"MOULAY DRISS 1er - 26, boulevard Kennedy, Safi",+212533020334
d2976bfd-e319-4b86-a590-3fd85c9e54c8,MOULAY DRISS 1er,HAD OULAD FREJ - ROUTE SECONDAIRE N° 105 24300 H.OULED FREJ,+212589777861
724041f5-be4c-48b7-aaef-388e0a382dbb,OUALIDIA,ESSAFAA - 6 BOULEVARD MOHAMED V EL JADIDA,+212578083841
8c717280-c845-4288-9b31-09e58227992b,LALLA ZAHRA,"MIFTAH EL KHEIR - Bd, Fkih Haskouri route Had Hrara Safi",+212511097948
967e1f4c-da33-4cd1-bf6f-db7f35da2891,OUMI RABII,BEN AHMED - BOULEVARD MOULAY ABDELLAH,+212532435115
b3669ccc-9b5f-4e44-a5e7-04a4df5b5f53,NASSIM,BIR ANZARANE - Avenue Bir anzarane lotissement zone d’activité économique tranche 1 lot N°68 Youssou,+212552829216
87ffb43b-2c42-4ba0-b108-b3ea2c72f411,JAWHARA,"OULAD SAID - Lotissement El Kheir, Lot n° 36 – Oulad Said Centre – Route secondaire n°105 – Province de Settat",+212531175754
3f160d20-f40f-4b18-a1d6-cc4f2fc47986,OULAD TEIMA,"ZAOUIA - Quartier sidi Ouassel, Safi 46000",+212562485820
d7e5c186-f7c7-471e-bd5f-df50b7457b43,ZAGORA,LIBERTE - AVENUE DE LA LIBERTE,+212575522554
9668554e-737c-4db9-adc8-20afe3089ade,LIGUE ARABE,"ZAOUIA - Quartier sidi Ouassel, Safi 46000",+212502163318
db4753c1-f88e-4d87-bb93-12061352d78d,R’BAT,BEN AHMED - BOULEVARD MOULAY ABDELLAH,+212548398724
081453db-ce2f-446f-9516-a3885a2e74e5,ZAOUIA,MOHAMED V - PLACE MED V V N BP: 175,+212564459848
48948165-837a-46d5-8f46-fcddc1384f70,TINGHIR,BIADA - Rue Atlas Quartier BIADA,+212574622180
57b8be04-b592-44ce-8fab-71666e3fdcf0,BOUCHRIT,OULAD TEIMA - OULAD TEIMA CENTRE,+212505223069
bbe4595c-0f77-456e-8e18-8dffc475d7ce,LIBERTE,SEBT GZOULA - ROUTE KHEMIS N’GA SEBT GZOULA,+212594220860
4bb9c01a-7d9a-4f63-a99f-0c66f6b530fb,TISSIR,"NASSIM - Bd, El Alaouiyines, 33 lot Nassim III El Jadida",+212565724019
a9d7febc-bf46-4d09-b349-308cbab64d61,TAZNAKHT,"SIDI RAHAL PLAGE - Sidi Rahal, Chatii n° 31 et 32",+212526545081
9572bc77-e381-435a-b3f6-42d4deaaedcb,HASSAN 1er,SIDI OUASSEL - ROUTE SIDI OUASSEL AVENUE BOUJDOUR SAFI,+212529395802
df5f7145-5602-4644-acd0-74bafed5e0d2,OUMI RABII,ESSAFAA - 6 BOULEVARD MOHAMED V EL JADIDA,+212583081432
2f29c203-aada-4b70-bf78-a41a7c37f718,HASSAN 1er,ESSAFAA - 6 BOULEVARD MOHAMED V EL JADIDA,+212518326638
53c6ea1a-fd19-45f2-8f24-9734fc8692d0,OULAD TEIMA,"ZAOUIA - Quartier sidi Ouassel, Safi 46000",+212561953565
60dc9c29-94ba-4fca-a35e-d476d7312bbd,LALLA ZAHRA,"OULAD SAID - Lotissement El Kheir, Lot n° 36 – Oulad Said Centre – Route secondaire n°105 – Province de Settat",+212541169635
b222ce3f-d1de-4a7c-88f7-d2e0f093a35b,IBN BATTOUTA,"MOULAY DRISS 1er - 26, boulevard Kennedy, Safi",+212536763783
3b29cb05-f091-4c4c-bab0-781ce5321691,OULED ABBOU,"SIDI RAHAL PLAGE - Sidi Rahal, Chatii n° 31 et 32",+212548286578
9d1e71c7-6cc5-423d-9950-3b284978f86e,BIR JDID,ESSAFAA - 6 BOULEVARD MOHAMED V EL JADIDA,+212540301433
5a10b6c8-4064-4800-a345-fbfde3023cda,TINGHIR,"ZAOUIA - Quartier sidi Ouassel, Safi 46000",+212518053812
b4a6d162-f946-4d19-9ffe-b4b44f354fd6,JAWHARA,AZEMMOUR - Bd Zerktouni Azemour,+212512186375
fb9ca46a-17d2-4cfb-9024-cca95fe6f90a,OUALIDIA,"NASSIM - Bd, El Alaouiyines, 33 lot Nassim III El Jadida",+212567950389
20dfba63-d0bd-4e4f-966c-d09009af8de8,LALLA ZAHRA,HAD SOUALEM - ROUTE EL JADIDA LOT SAHEL .LOT 209.,+212527982450
6c3592f0-6916-4cd5-bc66-df40d90e49af,ESSALAM,EL BROUJ - BOULEVARD MOHAMMED V,+212500363807
281db84e-cdcd-47da-a88a-e07ec1bf1774,BEN AHMED,MOHAMED V - PLACE MED V V N BP: 175,+212571766892
c485cc57-cbc1-4f2a-a900-2ef66113c535,DEROUA,EL BROUJ - BOULEVARD MOHAMMED V,+212504136530
66f18c7d-7c76-40e1-8cc9-46b0167d691b,TATA,"MEDINA - 2, rue Ben Simon place Moulay El Hassan 24000 EL Jadida",+212526116536
51dbc4e6-e46f-4d0a-b738-97a1e305c41b,BERRECHID,"ZAOUIA - Quartier sidi Ouassel, Safi 46000",+212585875149
747f3d05-d65b-4101-af96-8f9945774b76,NASSIM,"SIDI RAHAL PLAGE - Sidi Rahal, Chatii n° 31 et 32",+212519315466
da18461e-1841-4896-bcf1-fe0a036a8a14,HASSAN II,BIR ANZARANE - Avenue Bir anzarane lotissement zone d’activité économique tranche 1 lot N°68 Youssou,+212549421162
b51cdd85-cfa4-4852-91f0-18834c7b9b29,BIR JDID,"SAADA - Zankat Charif Idrissi Quartier saƒda, EL JADIDA",+212544567150
e50d3c06-6fd8-4133-b0e8-6e79f5be5f37,HAD OULAD FREJ,BIADA - Rue Atlas Quartier BIADA,+212542709204
d8641aaa-570c-4d75-b36f-b04cfc1726cb,BOUCHRIT,OULED ABBOU - Bd. Hassan II N° 12 Ouled Abbou,+212565661714
8d980078-4cba-498b-8e09-26531294c6c9,NASSIM,BERRECHID - 34.AVENUE MOHAMMED V,+212574876097
9bd2893d-fa76-49eb-b41c-326f09034ec5,OULED ABBOU,"MIFTAH EL KHEIR - Bd, Fkih Haskouri route Had Hrara Safi",+212534772920
921b97c7-3506-4177-8f51-bd9b015868b1,BEN AHMED,MOHAMED V - PLACE MED V V N BP: 175,+212553739014
4a0e82bf-371b-42b6-aa16-e66c81e877ed,OULAD TEIMA,SIDI OUASSEL - ROUTE SIDI OUASSEL AVENUE BOUJDOUR SAFI,+212581133825
d47a2612-a5da-4b42-b070-2d071099dfed,ESSALAM,L.HNIA HAMRIA - BD DRISS BEN NACER,+212555294097
61198983-feb9-49fa-967e-3cee11c9b3fa,OUALIDIA,"MOULAY DRISS 1er - 26, boulevard Kennedy, Safi",+212577663498
129e8294-fbeb-451c-8b77-6f73218a2e08,BOUCHRIT,AZEMMOUR - Bd Zerktouni Azemour,+212581307712
e17ea24b-78ca-4b49-a8d3-998d02a0aa81,SIDI OUASSEL,LALLA ZAHRA - Angle Avenue Echouhada et rue Churchil El Jadida,+212580865536
9a96366e-a336-449d-916c-b794386d685d,SIDI RAHAL PLAGE,OULED ABBOU - Bd. Hassan II N° 12 Ouled Abbou,+212595262690
abb71e2a-8dd6-4b6d-9326-38fb33914bd5,JEMAA SHAIM,HAD OULAD FREJ - ROUTE SECONDAIRE N° 105 24300 H.OULED FREJ,+212501422011
24d63fa6-be26-4272-ad54-33c8a7e6a212,TISSIR,OUMI RABII - Boulevard Mohamed V N° 230 Azemmour 241000,+212564329011
612e9268-ad06-4551-9d96-f5168a84ac15,MOHAMED V,ZAGORA - AVENUE MOHAMMED V,+212562153290
73bf3524-fe08-402f-a7d6-c824e71ae442,TATA,MOHAMED V - PLACE MED V V N BP: 175,+212547817142
9ddbf205-3996-4b43-aabc-1fc2831032b5,JEMAA SHAIM,"JAWHARA - 7, Dachra imm. 3 route de Marrakech Provinced’El Jadida",+212539286680
683bfd43-70b6-4a25-8302-93a56c973f41,JEMAA SHAIM,M HAITA (MRE) - ROUTE DE MARRAKECH,+212562558913
ba5caee5-2f7d-4444-96f5-2a1a3969e73c,LIGUE ARABE,ESSAFAA - 6 BOULEVARD MOHAMED V EL JADIDA,+212569364688
c935c896-14fb-4138-b30b-011b1b8f8d79,OUMI RABII,HASSAN II - Angle Bd Kennedy et Bd Hassan II (ex Bd C) 20250 Safi,+212534017801
4ffafa40-d286-40b2-b7dc-f2a92f6902f2,OUMI RABII,IBN KHALDOUNE - 7 AV. HASSAN II & RUE IBN KHALD,+212545468715
2ec03ef5-73dc-4dce-8a13-8b7b98e6a178,SEBT GZOULA,BIR JDID - ROUTE PRINCIPALE CENTRE BIR JDID,+212558462021
b12d151c-14ce-4023-a653-8dfeb7505397,OULED ABBOU,TINGHIR - BD.MOHAMMED V,+212539063125
dc3d94aa-31da-488d-aa21-a3a8d25199e1,KHEMIS ZEMAMRA,MOKHTAR SOUSSI (MRE) - AVENUE PRINCE HERITIER SIDI MED BP:44,+212553760486
94201dae-dec0-4a99-b249-b709c450734c,TATA,"JAWHARA - 7, Dachra imm. 3 route de Marrakech Provinced’El Jadida",+212539628736
5d127099-7b4e-4d5e-be81-51efa13c550d,SEBT GZOULA,BEN AHMED - BOULEVARD MOULAY ABDELLAH,+212510578949
f0ab483a-ebfe-4e9f-9c08-31ed25cb9bb3,MOHAMED V,HAD OULAD FREJ - ROUTE SECONDAIRE N° 105 24300 H.OULED FREJ,+212515242080
68f6649f-ee31-4bb1-a0e0-9fceae392a42,OULED ABBOU,HASSAN II - Angle Bd Kennedy et Bd Hassan II (ex Bd C) 20250 Safi,+212567273131
4f8f6974-f375-493a-a16c-1cb1b8a39e1f,BEN AHMED,LIBERTE - AVENUE DE LA LIBERTE,+212539734986
1b8551ac-8480-46f3-a6df-bcb4b4fcc422,OULAD TEIMA,BIADA - Rue Atlas Quartier BIADA,+212555309011
caf5f0d2-7e9a-4847-81af-f38e310c44a3,OULED ABBOU,BERRECHID - 34.AVENUE MOHAMMED V,+212509062362
d937bd49-8086-4d14-9e24-af05e5dae164,BIR JDID,SEBT GZOULA - ROUTE KHEMIS N’GA SEBT GZOULA,+212543324892
04a5ff06-eef7-45f4-b49e-d7b342a7d958,MIFTAH EL KHEIR,"SIDI RAHAL PLAGE - Sidi Rahal, Chatii n° 31 et 32",+212548049588
49e0bf2b-9cba-42f1-9365-0dc940441c30,ANNASR,"ZAOUIA - Quartier sidi Ouassel, Safi 46000",+212591698331
74934bbb-f2ff-47a6-abb5-de8f9cc395db,MOULAY DRISS 1er,"SAADA - Zankat Charif Idrissi Quartier saƒda, EL JADIDA",+212516197800
a5d82881-220d-4c5e-9c0c-c9f2e14229de,EL BROUJ,BIR ANZARANE - Avenue Bir anzarane lotissement zone d’activité économique tranche 1 lot N°68 Youssou,+212564490472
a483bac7-a2d0-43c5-89ad-111e1082c4ab,BEN AHMED,ANNASR - 64 Quartier Moulhia El Jadida 24000,+212538246854
86b966cb-2696-4442-aa9b-7806738a7cdb,MOKHTAR SOUSSI (MRE),HASSAN 1er - Lotissement Essadaouia route de Tafraoute Tiznit,+212553303986
3d980b9e-7d7f-4c61-9797-5235e76ee89b,LALLA ZAHRA,"NASSIM - Bd, El Alaouiyines, 33 lot Nassim III El Jadida",+212578925922
ec4778d9-2b3d-46e1-b6b3-fbcc23dbec97,SIDI OUASSEL,ZAGORA - AVENUE MOHAMMED V,+212582238046
e8aa1a14-9216-4562-a6d9-ab998d51e39b,BIADA,R’BAT - PLACE DE L’INDEPENDANCE,+212557975027
3aa81968-9042-4dd2-aba1-2f955dc1933b,DEROUA,IBN KHALDOUNE - 7 AV. HASSAN II & RUE IBN KHALD,+212523611988
028cd605-b1ef-4bb4-9aba-dc286ba6394c,BEN AHMED,IBN KHALDOUNE - 7 AV. HASSAN II & RUE IBN KHALD,+212516788923
8065d7de-66c1-4b13-bd64-1df3bf531f76,DEROUA,HAD OULAD FREJ - ROUTE SECONDAIRE N° 105 24300 H.OULED FREJ,+212515267185
