ID_Prêt,ID_Client,Montant_Pret,Taux_Interet,Duree_Pret,Date_Debut,Date_Fin,Paiement_Mensuel
08d527ec-e1ad-4f4b-9b46-12310d29c8ef,30398681-7873-43be-8467-73c52b06d3c0,43211,2.56,18,2024-01-11,2024-09-24,2449.56
172793d4-ae7f-4c50-8577-ea9aaac9aed0,5b4512c3-e40b-457b-9061-eac99d69483a,30839,5.72,28,2024-01-10,2024-08-14,1179.15
3a919e51-97ef-4f91-9218-00c5220aa320,93e87c67-e37d-408b-90ed-5e0c17b3deb1,8970,3.16,37,2024-02-25,2025-01-02,254.75
49161c36-72c8-4d64-ba77-5b8eb1f3ba86,165d2363-779c-45f1-b41a-978ee7f82e0f,11419,9.87,27,2024-03-02,2024-04-30,473.35
54076edf-f012-4898-a379-74f387d0abc2,93252147-f621-4f8f-a9ff-a455cc0c76d6,1487,5.88,31,2024-03-04,2024-12-31,51.82
96233ae4-3ca1-4d2d-9245-42a581c75073,9dec5c8c-0992-471b-910c-221a5a9b0f9e,9260,9.27,12,2024-02-19,2024-08-24,810.96
13e93485-d12a-49ba-8ba0-49174294e4c7,88629df8-d5c8-4ef7-84d6-930bc49b264e,7694,7.65,34,2024-01-10,2024-05-07,252.42
e996f560-0e60-4bee-bcc5-e06b31c723e9,88a5a360-48fb-4237-b54b-7912c9acfb69,33097,8.1,52,2024-02-13,2024-12-16,756.83
c4ad75fb-f98f-4ca6-a72c-dc070cd52e85,40b8e58e-b727-491d-b02f-673a2ac7e39b,23044,3.81,37,2024-02-12,2024-07-11,661.1
d278bd81-b626-45fd-97ec-3fd688cab830,f987a31d-63af-43bd-ae13-b37354cabcf9,21101,6.79,50,2024-02-09,2024-06-17,485.71
