Table,Column,sensitivity
Customer,ID_Client,Confidentiel
Customer,Nom,Secret
Customer,Prenom,Secret
Customer,Genre,Secret
Customer,Date_de_Naissance,Secret
Customer,Adresse,Secret
Customer,Telephone,Secret
Customer,CIN,Secret
Customer,flag_MRE,Confidentiel
Customer,flag_contencieux,Confidentiel
Customer,ID_Compte,Confidentiel
Customer,id_agence,Confidentiel
contact_info_data,ID_Contact,Restreint
contact_info_data,Type_Contact,Restreint
contact_info_data,Coordonnees_Contact,Restreint
faqs_data,ID_Question,Restreint
faqs_data,Question,Restreint
faqs_data,Reponse,Restreint
education_data,ID_Ressource,Restreint
education_data,Title,Restreint
education_data,Description,Restreint
education_data,URL_or_reference,Restreint
produit_data,ID_Produit,Restreint
produit_data,Type_Produit,Restreint
produit_data,Caract_Produit,Restreint
produit_data,Conditions_utilisation,Restreint
surveys_data,ID_Enquete,Restreint
surveys_data,Titre_Enquete,Restreint
surveys_data,Questions,Restreint
atm_data,ATM_ID,Restreint
atm_data,Localisation,Restreint
atm_data,Informations,Restreint
agences,ID_agence,Restreint
agences,nom_agence,Restreint
agences,Addresse,Restreint
agences,Telephone,Restreint
community_engagement_data,ID_Evenement,Restreint
community_engagement_data,Nom_Evenement,Restreint
community_engagement_data,Date,Restreint
community_engagement_data,Lieu,Restreint
community_engagement_data,Description,Restreint
Account,ID_Compte,Confidentiel
Account,ID_Client,Confidentiel
Account,Type,Secret
Account,Solde,Secret
Account,Date_Creation,Secret
annonces_data,ID_Annonce,Restreint
annonces_data,Title,Restreint
annonces_data,Date,Restreint
annonces_data,Description,Restreint
bank_card,ID_Carte,Très Secret
bank_card,ID_Client,Très Secret
bank_card,Numero_carte,Très Secret
bank_card,Date_expiration,Très Secret
bank_card,Type_carte,Secret
bank_card,Code_PIN,Très Secret
Taux_Interets_data,ID_Taux,Restreint
Taux_Interets_data,Type_Produit,Restreint
Taux_Interets_data,Taux_Interet,Restreint
transactions,ID_transaction,Secret
transactions,ID_Compte,Secret
transactions,Type,Secret
transactions,Date_Creation,Secret
transactions,Montant,Secret
loan,ID_Prêt,Secret
loan,ID_Client,Secret
loan,Montant_Pret,Secret
loan,Taux_Interet,Secret
loan,Duree_Pret,Secret
loan,Date_Debut,Secret
loan,Date_Fin,Secret
loan,Paiement_Mensuel,Secret
employe,EmployeeID,Confidentiel
employe,Nom,Secret
employe,Prenom,Secret
employe,Adresse,Secret
employe,Zipcode,Secret
employe,Ville,Secret
employe,Pays,Secret
employe,Numero_tele,Secret
employe,Email,Secret
employe,Date_naissance,Secret
employe,NumeroSecuriteSocial,Secret
employe,Date_recrutement,Secret
employe,Poste,Confidentiel
employe,Salaire,Confidentiel
employe,Departement,Confidentiel
