Table_Name,Column_Name,Tag
valeurs_mobilieres,id,Public
valeurs_mobilieres,code_valeur,Restreint
valeurs_mobilieres,nom_societe,Confidential
valeurs_mobilieres,cours_actuel,Restreint
valeurs_mobilieres,volume_echange,Restreint
alertes_transactions,id,Public
alertes_transactions,type_alerte,Restreint
alertes_transactions,date_creation,Restreint
alertes_transactions,statut,Restreint
alertes_transactions,priorite,Restreint
analyse_portefeuille,id,Public
analyse_portefeuille,type_instrument,Restreint
analyse_portefeuille,valeur_actuelle,Secret
analyse_portefeuille,poids_portefeuille,Restreint
analyse_portefeuille,date_evaluation,Restreint
analyse_risque,id,Public
analyse_risque,type_risque,Restreint
analyse_risque,description,Confidential
analyse_risque,niveau,Restreint
analyse_risque,date_creation,Restreint
assurances_biens,id,Public
assurances_biens,type_bien,Confidential
assurances_biens,valeur_assuree,Secret
assurances_biens,prime_annuelle,Confidential
cartes_virtuelles,id,Public
cartes_virtuelles,numero_carte,Secret
cartes_virtuelles,date_expiration,Confidential
cartes_virtuelles,plafond_quotidien,Confidential
cartes_virtuelles,type_carte,Restreint
cautions_bancaires,id,Public
cautions_bancaires,num_contrat,Restreint
cautions_bancaires,beneficiaire,Confidential
cautions_bancaires,montant,Secret
cautions_bancaires,type_caution,Restreint
cheques_encaisses,id,Public
cheques_encaisses,montant,Secret
cheques_encaisses,date_encaissement,Restreint
cheques_encaisses,nom_beneficiaire,Confidential
cheques_encaisses,numero_compte,Très Secret
clients_particuliers,id,Public
clients_particuliers,nom,Très Secret
clients_particuliers,prenom,Très Secret
clients_particuliers,cin,Secret
clients_particuliers,adresse,Très Secret
clients_professionnels,id,Public
clients_professionnels,entreprise,Confidential
clients_professionnels,secteur_activite,Confidential
clients_professionnels,adresse,Confidential
clients_professionnels,telephone,Confidential
commission_transactions,id,Public
commission_transactions,type_transaction,Restreint
commission_transactions,commission,Confidential
comptes_joint,id,Public
comptes_joint,titulaire_1,Très Secret
comptes_joint,titulaire_2,Très Secret
comptes_joint,solde,Secret
comptes_joint,date_ouverture,Restreint
courses_devise,id,Public
courses_devise,devise_achetee,Restreint
courses_devise,devise_vendue,Restreint
courses_devise,montant_achat,Confidential
courses_devise,montant_vente,Confidential
emprunts_credits,id,Public
emprunts_credits,montant,Secret
emprunts_credits,date_emprunt,Restreint
emprunts_credits,taux_interet,Confidential
emprunts_credits,duree_remboursement,Restreint
fiscalite_comptes,id,Public
fiscalite_comptes,type_avantage,Restreint
fiscalite_comptes,taux_imposition,Confidential
fiscalite_comptes,date_application,Restreint
fiscalite_comptes,description,Restreint
gestion_credits,id,Public
gestion_credits,montant_disponible,Secret
gestion_credits,taux_interet,Confidential
gestion_credits,duree_remboursement,Restreint
gestion_credits,date_octroi,Restreint
