id,code_valeur,nom_societe,cours_actuel,volume_echange
1,001ABC,Société A,154.3,20000
2,002DEF,Banque B,75.8,15000
3,003GHI,Entreprise C,210.6,35000
4,004JKL,Banque D,125.4,18000
5,005MNO,Société E,182.75,25000
6,006PQR,Entreprise F,95.2,14000
7,007STU,Banque G,110.85,21000
8,008VWX,Société H,135.6,22000
9,009YZA,Entreprise I,185.9,19000
10,010BCD,Banque J,103.4,16000
11,011EFG,Société K,195.25,28000
12,012HIJ,Entreprise L,78.6,12000
13,013KLM,Banque M,150.2,24000
14,014NOP,Société N,165.9,26000
15,015PQR,Entreprise O,82.45,13000
16,016STU,Banque P,95.7,17000
17,017VWX,Société Q,175.3,27000
18,018YZA,Entreprise R,88.2,15000
19,019BCD,Banque S,125.1,20000
20,020EFG,Société T,195.7,29000
21,021HIJ,Entreprise U,81.1,11000
22,022KLM,Banque V,145.6,23000
23,023NOP,Société W,160.4,25000
24,024PQR,Entreprise X,89.75,14000
25,025STU,Banque Y,130.8,19000
26,026ABC,Société Z,200.15,30000
27,027DEF,Entreprise AA,79.3,12000
28,028GHI,Banque BB,135.2,20000
29,029JKL,Société CC,180.65,26000
30,030MNO,Entreprise DD,87.9,14000
31,031PQR,Banque EE,120.3,18000
32,032STU,Société FF,170.45,25000
33,033VWX,Entreprise GG,92.8,16000
34,034YZA,Banque HH,140.1,21000
35,035BCD,Société II,185.2,27000
36,036EFG,Entreprise JJ,85.4,13000
37,037HIJ,Banque KK,130.75,20000
38,038KLM,Société LL,175.9,28000
39,039NOP,Entreprise MM,88.6,16000
40,040PQR,Banque NN,125.4,21000
41,041STU,Société OO,190.3,29000
42,042VWX,Entreprise PP,80.9,15000
43,043YZA,Banque QQ,132.4,22000
44,044BCD,Société RR,170.8,26000
45,045EFG,Entreprise SS,90.1,14000
46,046HIJ,Banque TT,140.65,20000
47,047KLM,Société UU,178.75,27000
48,048NOP,Entreprise VV,86.2,16000
49,049PQR,Banque WW,127.9,21000
50,050STU,Société XX,185.4,28000
